gene_id,SRR10229809,SRR10229810,SRR10229811,SRR10229812,SRR10229813,SRR10229814,SRR10229815,SRR10229816
gene_2051,115,47,66,29,505,70,40,271
gene_2046,1449,553,1383,605,5936,1181,407,4078
gene_2052,460,215,290,152,2833,624,295,1817
gene_2053,121,38,59,39,667,88,15,442
gene_2058,58,23,111,28,421,75,24,155
gene_2059,44,24,130,36,474,57,32,195
gene_2055,593,297,496,180,4466,471,209,2911
gene_2056,40,0,70,11,286,32,12,147
gene_2057,143,75,102,66,1813,191,73,885
gene_2061,25,13,28,3,245,24,18,125
gene_2060,367,184,355,129,1615,372,156,490
gene_2062,177,72,61,24,745,117,47,449
gene_2063,423,171,315,119,2127,337,122,1191
gene_2064,352,147,118,48,872,300,122,687
gene_2065,572,242,212,96,1223,568,246,1093
gene_2067,7,0,6,4,39,0,0,67
gene_2068,114,37,56,57,452,107,52,256
gene_2070,42,26,53,11,390,77,29,298
gene_2069,252,86,124,80,1089,177,97,696
gene_2071,290,116,128,57,632,176,108,477
gene_2074,29,9,20,8,177,13,15,157
gene_2075,22,0,12,4,322,33,11,97
gene_2073,734,289,246,75,1464,560,269,1056
gene_2076,30,11,31,18,207,14,9,81
gene_2077,44,21,15,0,121,13,10,85
gene_2078,7,5,18,0,82,16,11,30
gene_2079,21,19,8,8,108,13,22,53
gene_2080,21,16,7,10,99,26,9,65
gene_2085,30,4,39,6,120,14,3,94
gene_2086,25,12,9,9,144,12,12,47
gene_2087,0,0,14,0,96,20,0,34
gene_2091,4,2,0,0,0,0,0,7
gene_2098,4,4,16,6,80,0,0,38
gene_2102,0,0,4,0,56,9,5,17
gene_2101,3,3,0,0,0,0,0,0
gene_2097,125,59,72,43,661,110,29,363
gene_2110,3,0,0,0,0,0,0,0
gene_2121,0,0,0,0,0,0,0,0
gene_2122,4,2,2,0,25,11,0,4
gene_2123,6,8,7,12,81,9,5,80
gene_2108,223,68,113,68,1656,184,83,764
gene_2109,7,7,0,7,138,0,0,128
gene_2125,120,58,135,43,1118,110,35,731
gene_2131,2,2,11,6,53,10,4,28
gene_2128,67,29,48,13,193,45,10,115
gene_2144,14,0,0,0,6,0,0,0
gene_2145,6,4,7,6,56,10,11,6
gene_2148,4,1,0,0,0,0,0,7
gene_2141,0,0,0,0,0,0,0,0
gene_2140,292,108,277,102,2127,245,86,1365
gene_2150,8,19,16,5,170,11,6,39
gene_2154,0,6,6,0,32,0,0,0
gene_2153,11,7,0,0,4,0,0,3
gene_2158,11,0,5,0,14,0,0,4
gene_2159,0,0,0,0,6,0,0,15
gene_2160,3,0,4,0,6,0,0,12
gene_2161,37,0,27,26,380,33,12,442
gene_2162,80,24,198,66,1414,67,24,1554
gene_2165,0,0,5,0,49,0,0,31
gene_2169,10,0,0,10,108,14,0,68
gene_2171,4,0,15,5,35,0,0,8
gene_2176,0,0,0,0,50,5,0,6
gene_2177,0,0,0,0,33,0,0,12
gene_2180,0,0,0,0,18,4,0,27
gene_2183,8,0,21,0,94,12,1,20
gene_2184,5,6,6,0,55,6,0,28
gene_2185,4,5,11,0,63,0,0,25
gene_2187,3,0,0,0,20,0,0,8
gene_2188,0,0,0,0,4,0,0,0
gene_2189,6,5,8,9,107,8,12,53
gene_2191,6,0,0,0,12,0,2,0
gene_2190,29,24,38,18,323,35,28,233
gene_2192,12,11,8,0,57,7,4,53
gene_2193,0,0,13,6,88,0,5,34
gene_2198,4,0,0,3,26,0,0,0
