"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_8702",975.771234925195,-0.592216415341709,0.0990697289651428,-5.97777365021437,2.26207738631385e-09,9.15140371215372e-08
"gene_9884",345.383837514394,-1.13535672245064,0.189949425883029,-5.97715269300045,2.27071346790331e-09,9.15140371215372e-08
"gene_7398",197.76027364715,-1.41056072926319,0.236577866947394,-5.96235289236438,2.48631459970667e-09,9.98264658829596e-08
"gene_16376",2320.92935844774,0.638858649950956,0.107221478299773,5.95830854117506,2.54861999521201e-09,1.0194479980848e-07
"gene_13896",84.2635555399699,-1.68726599660545,0.283729213376564,-5.94674752213872,2.73522801385796e-09,1.09000877567175e-07
"gene_3279",1302.08645697822,-0.777612751973237,0.130895842141174,-5.94069864445781,2.8380991932393e-09,1.12679923359836e-07
"gene_13587",183.728863278439,7.42538928049057,1.25065618393103,5.93719471098067,2.89940253668317e-09,1.1468747811769e-07
"gene_12766",1283.99647492795,0.64383642632387,0.10879693982952,5.91778065938925,3.26314731798352e-09,1.28599311276989e-07
"gene_3892",4112.74398946317,-0.929210416159946,0.157057370364109,-5.91637574222553,3.29112895312221e-09,1.2922521036524e-07
"gene_11367",316.399337165236,1.11118726199629,0.188011475387923,5.91020978748019,3.41672309605665e-09,1.33665211230348e-07
"gene_14655",107.58274920034,1.64579489098114,0.279608250693038,5.88607413015126,3.95476984679581e-09,1.54149423225472e-07
"gene_4326",571.908685699743,-1.94019948313858,0.329961221475075,-5.88008334574896,4.10059952920949e-09,1.59252374443481e-07
"gene_3360",429.80296783248,0.970548239275581,0.165245969528492,5.87335498738588,4.27062612077143e-09,1.65254662934199e-07
"gene_2922",15.0391390173116,6.72646679302629,1.1456913870743,5.87109833321114,4.32917382487331e-09,1.66915438446379e-07
"gene_3847",53.1496995149413,-2.01755216659349,0.344545366151466,-5.85569380638993,4.75022701864598e-09,1.82490735824241e-07
"gene_13585",40.3380530479108,2.83858561684589,0.484944641414503,5.8534219670233,4.81560250834612e-09,1.84339192792604e-07
"gene_7851",567.266222135416,-1.50323728866865,0.257217535916117,-5.84422552418388,5.08930416381184e-09,1.94120601676823e-07
"gene_14166",7515.35992546898,0.545811574328573,0.0934921724014189,5.83804569205078,5.28166744935645e-09,2.00740955014687e-07
"gene_509",1550.75215099031,-1.00200821129736,0.171994121107975,-5.82582825995733,5.68300350967959e-09,2.15228643558078e-07
"gene_8226",461.753179024921,-0.771225831863574,0.133255681382418,-5.78756435645174,7.14143303754658e-09,2.69507084243807e-07
"gene_87",5646.82783616526,1.00773778346047,0.174169614080899,5.78595634363861,7.21009390685376e-09,2.70188782193678e-07
"gene_3419",1001.84853049981,0.96055824073306,0.166011559023941,5.78609252500626,7.20425427686877e-09,2.70188782193678e-07
"gene_14281",252.452440951503,1.1561419105193,0.199988391120492,5.78104510987702,7.42379792241151e-09,2.77224341997745e-07
"gene_6038",221.757024869239,-1.94961467862708,0.3379858537235,-5.7683321865359,8.00598793194289e-09,2.97923174610279e-07
"gene_1894",307.060332391375,-0.856376894183628,0.148508323578991,-5.76652455259938,8.09229251049076e-09,3.00089180597366e-07
"gene_15753",227.505782833939,1.35865289290021,0.235994259982447,5.75714380935054,8.55490279140826e-09,3.16146580665191e-07
"gene_5954",400.162201717045,0.944447772830684,0.164338683649347,5.74695958284462,9.08624373215642e-09,3.3347451223172e-07
"gene_15925",1286.0787986104,-0.892766107324151,0.155332411753834,-5.74745539095201,9.05964904256888e-09,3.3347451223172e-07
"gene_3547",608.61607406346,0.952060642143474,0.165996462623648,5.73542729221896,9.72668122469588e-09,3.55756696848466e-07
"gene_8359",1290.82452706182,0.813342048259861,0.141882653840279,5.73249813310837,9.89621244060035e-09,3.60722009780245e-07
"gene_6134",1594.51486826434,-0.726612204510985,0.127185503501908,-5.71301118841807,1.10994378525338e-08,4.03204068928779e-07
"gene_2759",106.75649026247,1.94304381646219,0.340234855304189,5.71088995195685,1.12386905027547e-08,4.06878693455664e-07
"gene_5977",513.843322690811,-0.722667691948955,0.12672345488424,-5.70271456542199,1.17914341808625e-08,4.2544769274193e-07
"gene_16505",87.2723949796092,-1.55429961035987,0.273001930775776,-5.69336490017888,1.24559782788912e-08,4.47911946190432e-07
"gene_13181",1483.93771730418,0.51378420034659,0.0902885178698925,5.69047108611267,1.26689364139804e-08,4.54041076850034e-07
"gene_17005",556.36950982705,1.84314178944199,0.324238048232136,5.68453270518828,1.31170820063189e-08,4.68529885710654e-07
"gene_7508",232.995166824728,-0.849843500475814,0.149808133184894,-5.672879585429,1.40416933431163e-08,4.99884283014942e-07
"gene_12074",80.2952870372787,1.74982479555372,0.308541554089804,5.67127757139777,1.41736537229918e-08,5.02905720138047e-07
"gene_9213",1257.65004941701,-0.536308012565707,0.0946608156956226,-5.66557565159993,1.46531755701894e-08,5.181983943365e-07
"gene_514",2862.99678201998,-0.607015034423657,0.107221020915802,-5.66134354288916,1.50192405111216e-08,5.29391051679137e-07
"gene_10410",24.9801700714947,7.45326110965258,1.31857182013154,5.65252570687356,1.5810714275849e-08,5.55455356796273e-07
"gene_12740",1370.62109907771,-1.32436865168727,0.234332555955802,-5.65166306613009,1.58902839469806e-08,5.5642043460247e-07
"gene_7586",2341.75022315081,-0.61320611510953,0.108554171324876,-5.64884893528737,1.61525715719112e-08,5.63756419568667e-07
"gene_14260",93.1396870253855,2.20815692471131,0.390972109184547,5.64786303891824,1.62454516357925e-08,5.65151216515518e-07
"gene_5129",443.880655024445,0.882000844760919,0.156289679492928,5.64337227910708,1.66751239941324e-08,5.78215338497837e-07
"gene_1886",3629.34089831277,0.543696524978565,0.0963785354175239,5.64126153840378,1.68808713707545e-08,5.83455359998894e-07
"gene_1254",413.307230381793,-1.12845249343691,0.200111475573839,-5.63911934685886,1.7092204489969e-08,5.88854012751192e-07
"gene_10125",237.162598501816,-0.971077851100011,0.172572690604853,-5.62706560172682,1.83301030617482e-08,6.29471063342348e-07
"gene_4989",53.1598981402011,2.02377164504311,0.359768446533927,5.62520605834248,1.85286663093533e-08,6.34250500589401e-07
"gene_462",793.338792493179,-0.919306991184921,0.163473959740322,-5.62356838144277,1.87052669332536e-08,6.38250002706544e-07
