"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_12044",497.965498822431,-1.51801964181929,0.150723412501641,-10.0715583373801,7.37993828398464e-24,5.24129366877159e-22
"gene_10053",1440.31727383033,-1.03660196838497,0.103389805128831,-10.0261526471908,1.1698652176738e-23,8.2511804007931e-22
"gene_1518",3055.32757057229,-1.26260674854015,0.12594993001605,-10.024672092944,1.18753126891135e-23,8.31841252544959e-22
"gene_1542",54338.2503116907,-0.865940554651944,0.086389265154826,-10.023705527533,1.19920665301552e-23,8.34305200026509e-22
"gene_2176",575.148802505972,-0.965170051394789,0.0963040621864821,-10.0221115234562,1.2187098382675e-23,8.42144967294708e-22
"gene_7876",308.840606417793,-1.31809175423147,0.132081706582668,-9.97936647196855,1.87661120685006e-23,1.28806059143997e-21
"gene_5106",1661.4747878505,1.67566832694232,0.168759558817968,9.92932393684305,3.1035256977607e-23,2.11598382073325e-21
"gene_1402",28361.8790169359,-1.19937547594828,0.120965061554191,-9.91505696387362,3.58052152390467e-23,2.42503269039557e-21
"gene_2047",5499.8823680559,-1.11482466131813,0.112447817090632,-9.91415120508383,3.61314394421028e-23,2.43102783667359e-21
"gene_7963",17031.7543243513,-1.34380200927789,0.135704630518222,-9.90240350787036,4.06388889366551e-23,2.71643083107955e-21
"gene_2656",5660.37936835797,-1.31779241443111,0.133334691081628,-9.88334246504796,4.91650587702254e-23,3.2650068574227e-21
"gene_2919",415.165640852946,1.33127600176317,0.134789069457148,9.87673560715845,5.2515841003629e-23,3.46502907060718e-21
"gene_10817",1117.68376367228,-1.4396272224482,0.145845208445383,-9.87092574239303,5.5648626377058e-23,3.6481955253729e-21
"gene_1324",3071.93329785463,-0.922070560120347,0.0935099030295851,-9.86067282979235,6.16349744695808e-23,4.0149100885376e-21
"gene_12002",794.127015642351,-1.14548716599175,0.116338027333984,-9.84619726018972,7.1186545884796e-23,4.60775192888486e-21
"gene_508",3884.43868611133,-0.94627506857633,0.0963987332804777,-9.81626040482387,9.58328008574705e-23,6.16403807779466e-21
"gene_8909",718.665784008029,0.908054055722291,0.0926228955896223,9.80377529704471,1.084546012643e-22,6.93228254456249e-21
"gene_3161",774.237010436225,0.958791678606918,0.0978651382506666,9.79707070102042,1.15897954138033e-22,7.3620396085072e-21
"gene_12043",1885.5851182018,-0.581003835590306,0.0594280897655218,-9.7765860871972,1.41916803473089e-22,8.95915524147707e-21
"gene_1648",2543.11340324697,0.989385115640848,0.101251894694484,9.77152199103237,1.49193711894672e-22,9.36076129783321e-21
"gene_6211",1272.55653138483,-1.14302336081849,0.117105178451604,-9.76065598406367,1.66077469661755e-22,1.03310070704567e-20
"gene_6903",3474.82935085963,1.49476484982542,0.153147586828247,9.76028993197119,1.66678025484048e-22,1.03310070704567e-20
"gene_6198",9088.19220419462,-0.721364042537672,0.0739905668924602,-9.7494055368723,1.85551609957207e-22,1.143154406646e-20
"gene_4415",8031.00056512417,1.3440995485504,0.138082440831095,9.73403671357842,2.15853052503027e-22,1.32187375326255e-20
"gene_4576",1380.07205066887,-1.44321579650803,0.148357951212699,-9.7279302168234,2.29209173924912e-22,1.3953108462679e-20
"gene_4994",421912.804223311,-1.06695553775837,0.10972658697316,-9.72376492508011,2.38785500681158e-22,1.44500551211018e-20
"gene_8995",1217.52545420075,1.44366979358083,0.148756190921592,9.70493923403678,2.87247418217415e-22,1.72804667418206e-20
"gene_11259",43.4973158026622,6.08202909626245,0.627646466402965,9.69021482924693,3.31829950716703e-22,1.9845759684092e-20
"gene_913",7672.69425965565,-0.894087705573952,0.0924444422289447,-9.67162204689045,3.98018885627885e-22,2.36659252518394e-20
"gene_4515",56636.5396209554,-1.16984770940783,0.12097357456809,-9.67027479831464,4.03293709672309e-22,2.38409524209174e-20
"gene_11661",783.051155100682,-1.92815307047109,0.199583628433596,-9.66087792673141,4.4205915381343e-22,2.59824078508618e-20
"gene_6556",6815.81111828116,1.02362701723451,0.106249735846116,9.63416058480428,5.73588696970376e-22,3.35205234509488e-20
"gene_660",5744.47463265212,-0.808371998038426,0.0839872834844699,-9.62493325775803,6.27476461816324e-22,3.64613737215656e-20
"gene_7909",5375.50728764157,-1.03232571510076,0.107753093794526,-9.58047401468861,9.66005568977739e-22,5.58154743160188e-20
"gene_6200",940.424057938299,-1.32310756800222,0.138198925195675,-9.57393529746231,1.02912153117627e-21,5.91282353895491e-20
"gene_6660",250.246640547415,1.2257311211237,0.128062895342982,9.57132132489206,1.05547990808994e-21,6.03038716203118e-20
"gene_1393",2641.47508983824,-1.26143636745738,0.131954266938566,-9.55964817753612,1.18157687649337e-21,6.71332595327648e-20
"gene_1253",2717.50770185834,0.637841219935377,0.0667295093837181,9.55860796559384,1.19351168737093e-21,6.74367073300693e-20
"gene_9444",3056.56265065941,0.605154084323298,0.0635634237551334,9.52047653465843,1.72386727151779e-21,9.68680801418265e-20
"gene_8223",711.675642306501,0.983345446478862,0.103579794076088,9.49360302605462,2.23183707779487e-21,1.24726763904962e-19
"gene_8996",11557.115884488,1.98495961082683,0.20918116499146,9.48918900469774,2.32838648865642e-21,1.29415264236354e-19
"gene_10143",21517.2204489126,-0.829482714835458,0.0875291774095381,-9.47664241095757,2.62596641464299e-21,1.45166262284075e-19
"gene_11670",127.155881300662,-1.93308354524018,0.204783633528942,-9.43963886140818,3.74066412427909e-21,2.05676193543023e-19
"gene_3557",10254.144750123,1.23359011476601,0.130762815931569,9.43379894335995,3.95499171948973e-21,2.16297862648243e-19
"gene_3074",817.380940960321,1.43262857246566,0.151957772576478,9.42780713467381,4.18751665849201e-21,2.27796451417009e-19
"gene_1352",316.94586788769,-2.01988803203425,0.214312479204975,-9.42496694325654,4.30241069431035e-21,2.3280822312546e-19
"gene_9545",5966.10689028247,-1.05966492602222,0.112544407531773,-9.41552716178336,4.70714342152649e-21,2.53368188273428e-19
"gene_1614",1909.28748174169,-1.15591500525714,0.123101757824252,-9.38991469892255,6.00488687398049e-21,3.21528680943448e-19
"gene_4549",732.998064767588,1.09342423837701,0.11668604780806,9.37065106683203,7.20864743424472e-21,3.83973110989691e-19
"gene_3241",1152.8505901449,-0.892350686729656,0.0952921840381337,-9.36436388500192,7.65097612533439e-21,4.05422449916035e-19
"gene_6917",434.553361520189,1.71730407534218,0.183677192789627,9.34957709915068,8.79988680340269e-21,4.63899187311336e-19
"gene_2290",712.222492506798,-1.36403067367006,0.146149525254741,-9.33311737614289,1.02801888128639e-20,5.39156364046972e-19
"gene_1060",405.557833652773,1.12793873920805,0.120975484770532,9.3236967915239,1.1235580546186e-20,5.86256542070633e-19
"gene_4874",64651.3385040656,-0.839607275897554,0.0901974008079927,-9.30855288928851,1.2958580452823e-20,6.72727930411273e-19
"gene_2993",1343.05529691794,-1.18843234235755,0.128189720294132,-9.27088646133778,1.84605201360033e-20,9.53513835509623e-19
"gene_942",7940.61897049094,-1.12823343650355,0.121722507121583,-9.26889745523081,1.88079963491377e-20,9.66579792274529e-19
"gene_4399",218.109790604057,1.20997861686446,0.130631702926758,9.26251889667912,1.99665267463877e-20,1.02098834517653e-18
"gene_5775",2382.990340677,-1.40149850129272,0.151440329683738,-9.25446018388597,2.15315631959427e-20,1.09553879007416e-18
"gene_6760",1411.05133473113,-1.17081200900063,0.126941148254621,-9.22326625447088,2.88185104795314e-20,1.45904409244637e-18
"gene_22",5847.18068199665,1.73116483704828,0.187809489177106,9.21766437166426,3.03641884603668e-20,1.52972687381365e-18
"gene_2594",2293.18725916487,-0.894155436808097,0.0970134785143281,-9.21681657540027,3.06051463567361e-20,1.53430799897225e-18
"gene_1348",10790.7950886794,-1.13241976139738,0.122962693957666,-9.2094579660661,3.27775872046e-20,1.63520187483632e-18
"gene_2575",7740.4126336199,1.87752833257191,0.203927461960051,9.20684401466101,3.35854240782124e-20,1.66736957304795e-18
"gene_2882",1583.23610930882,-0.802991549878729,0.0873520429053186,-9.1925903867995,3.83492989096557e-20,1.8891270254559e-18
