gene_id,SRR10229797,SRR10229798,SRR10229799,SRR10229800,SRR10229801,SRR10229802,SRR10229803,SRR10229804,SRR10229805
gene_12289,37,14,39,0,63,11,241,129,182
gene_12292,7,8,39,16,35,13,585,356,310
gene_12293,90,46,77,30,84,41,348,214,242
gene_12294,19,4,27,0,11,0,36,35,32
gene_12299,0,0,0,0,0,0,0,0,0
gene_12297,7,11,16,12,15,0,83,79,54
gene_12298,63,24,72,22,60,21,291,194,156
gene_12301,11,16,9,0,21,14,77,82,61
gene_12302,2,2,0,0,0,0,4,0,0
gene_12303,591,253,554,270,356,112,2014,1901,1797
gene_12305,68,44,56,25,47,14,471,348,357
gene_12307,3,3,2,0,0,0,11,0,0
gene_12308,2,0,0,5,0,0,17,13,12
gene_12309,555,245,547,235,935,324,1679,836,1291
gene_12310,0,0,0,0,4,0,14,0,14
gene_12312,3,5,2,2,8,1,43,46,21
gene_12313,146,47,77,73,80,37,1125,548,616
gene_12314,298,155,370,151,347,85,2593,1814,1663
gene_12315,71,16,70,33,43,29,221,121,138
gene_12316,19,8,29,9,16,6,138,67,91
gene_12318,7,0,0,0,0,0,17,25,27
gene_12317,68,31,53,22,39,34,317,160,256
gene_12319,11,3,25,16,3,0,114,44,64
gene_12320,957,403,1435,532,1746,638,6808,5238,5739
gene_12329,19,9,28,10,69,23,1560,258,184
gene_12323,6,4,3,4,2,4,34,8,34
gene_12324,17,6,4,10,4,0,21,14,17
gene_12325,64,3,32,17,35,21,469,323,289
gene_12326,56,32,76,50,57,16,1463,951,1079
gene_12330,0,0,4,0,23,12,81,74,44
gene_12332,3,8,8,2,8,0,38,30,28
gene_12333,41,10,29,8,19,0,89,62,55
gene_12337,6,0,3,3,6,0,31,20,35
gene_12334,6,8,16,10,0,0,25,24,30
gene_12335,645,256,738,260,732,211,2740,1853,2094
gene_12339,12,11,7,0,0,0,31,20,37
gene_12340,4,0,12,5,6,4,31,23,6
gene_12341,23,17,21,11,12,0,33,17,12
gene_12343,0,0,0,0,0,0,20,16,10
gene_12342,24,7,57,10,14,6,118,64,75
gene_12052,0,0,0,0,0,0,0,6,3
gene_12059,0,0,5,0,21,2,111,51,21
gene_12076,0,0,6,21,0,0,9,0,0
gene_12077,0,0,0,0,3,2,104,26,0
gene_12090,0,0,0,0,4,0,8,0,6
gene_12102,0,0,0,0,0,0,0,0,10
gene_12103,0,0,2,0,0,0,14,0,5
gene_12107,0,3,0,0,6,0,20,33,10
gene_12108,0,0,6,0,0,0,11,5,6
gene_12109,0,2,2,0,6,0,0,6,7
gene_12112,0,0,0,0,0,0,4,0,0
gene_12114,0,0,0,0,0,0,0,0,0
gene_12115,0,0,0,0,0,0,0,0,0
gene_12117,0,0,0,0,0,0,0,0,0
gene_12119,0,7,8,4,3,0,72,57,49
gene_12121,0,0,0,0,0,0,0,0,0
gene_12122,0,0,0,0,0,0,0,0,0
gene_12126,0,0,0,0,0,0,0,0,0
gene_12127,0,0,5,0,0,0,3,6,6
gene_12034,5801,2718,6450,2688,6489,2072,34945,21139,25785
gene_12035,155,105,295,123,266,143,477,349,316
gene_12036,238,82,180,60,254,83,1144,563,762
gene_12037,3176,1341,4039,1481,5430,1789,24092,14433,17283
gene_12038,872,429,755,316,1235,464,2390,1543,1721
gene_12039,800,320,737,328,676,245,3306,1510,1753
gene_12040,798,387,786,321,1035,413,3817,2403,2593
gene_12041,5610,2485,5879,2365,7131,2426,27947,15551,20718
gene_12042,636,256,760,339,864,283,5789,3464,3948
gene_12043,1324,592,1431,614,1577,535,10072,6508,6750
gene_12044,263,138,286,115,240,91,4071,2127,2421
gene_12045,7,2,0,0,0,7,18,3,0
gene_12046,188,96,314,115,378,140,2016,1324,1666
gene_12047,988,387,1277,550,1853,654,5973,4608,3904
gene_12048,925,372,985,393,1014,416,3991,2307,2524
gene_12049,10,7,3,8,0,0,6,10,0
gene_12050,4,0,10,5,0,0,59,22,26
gene_12051,139,62,152,33,137,46,649,449,483
gene_12053,585,266,508,197,370,110,1531,730,884
gene_12054,2115,954,2787,1214,3767,1397,13500,7816,8974
gene_12055,158,49,209,53,236,59,945,707,607
gene_12056,286,127,335,163,641,191,2472,1243,1157
gene_12057,8,0,8,0,13,6,123,38,53
gene_12058,499,242,775,323,783,234,4358,2645,3345
gene_12060,3684,1581,3050,1349,1523,608,6708,4397,4667
gene_12062,196,100,231,91,163,44,438,345,427
gene_12063,967,411,924,381,1113,425,4065,2430,2886
gene_12064,2779,1371,2695,1154,3249,1149,15568,8992,9473
gene_12065,4,0,27,12,30,0,60,44,20
gene_12066,374,152,424,196,236,97,1788,1250,1158
gene_12067,22,3,14,9,20,8,96,57,40
gene_12068,1885,871,2068,751,2717,952,10495,5195,7263
gene_12069,7,11,21,5,17,0,52,27,37
gene_12070,227,78,211,89,299,89,646,409,525
gene_12071,498,173,494,204,400,168,1204,978,923
gene_12072,2145,979,2149,896,3885,1376,4688,4229,3197
gene_12073,445,208,517,223,586,196,2261,1386,1410
gene_12074,137,42,194,53,211,64,773,530,567
gene_12075,506,214,658,249,702,208,2953,1648,1934
gene_12078,261,145,284,112,439,169,4513,1577,1121
gene_12079,2949,1404,3934,1666,6702,2335,23175,12703,15633
gene_12080,646,270,785,317,955,311,5696,3165,3758
gene_12081,36,21,37,17,38,7,177,73,99
gene_12082,132,62,141,67,263,60,423,221,259
gene_12083,34,28,38,8,62,33,180,141,167
gene_12084,539,313,409,228,129,49,312,187,236
gene_12085,2872,1154,3325,1392,3585,1424,13323,8357,8811
gene_12086,2754,1193,3355,1335,4269,1561,14894,10753,9695
gene_12087,2156,1120,2287,901,1711,525,7416,4999,5355
gene_12088,400,192,515,261,435,174,5391,3083,3365
gene_12089,89,40,76,52,89,14,1256,747,745
gene_12091,1294,628,1855,861,2359,815,9093,5453,5742
gene_12092,1510,696,1595,652,1749,640,4792,2503,3139
gene_12093,689,287,821,351,1514,522,3618,2392,2685
gene_12094,69,23,67,33,62,17,327,215,230
gene_12096,21,19,32,10,55,24,41,27,24
gene_12097,479,205,737,350,1010,348,3552,1706,2049
gene_12098,8,8,13,5,34,9,54,14,35
gene_12099,348,146,546,181,944,347,3018,1351,1800
gene_12100,150,64,123,67,131,61,605,607,304
gene_12101,11,5,4,0,10,0,36,60,56
gene_12104,58,25,46,21,71,34,303,264,266
gene_12105,49,23,58,14,41,11,205,148,175
gene_12106,133,55,189,66,178,63,1164,903,790
gene_12110,7,0,0,0,0,0,24,28,0
gene_12111,85,26,117,60,87,25,389,253,276
gene_12113,12,23,0,7,9,3,26,10,22
gene_12116,3,0,3,0,6,0,26,9,17
gene_12118,21,15,16,5,5,0,172,74,98
gene_12120,13,11,18,11,10,0,89,68,71
